Order_ID,Order_Date,Amount,Customer_ID
1,2024-07-25,587.26,419
2,2024-10-11,957.31,83
3,2024-09-01,556.81,486
4,2024-09-19,292.49,735
5,2024-07-02,891.38,440
6,2024-09-21,288.49,959
7,2024-10-25,32.68,843
8,2024-01-08,805.55,333
9,2024-06-16,56.97,386
10,2024-06-08,581.78,801
11,2024-04-23,109.48,827
12,2024-08-07,419.92,243
13,2024-02-27,898.44,655
14,2024-04-13,582.22,558
15,2024-09-06,468.93,621
16,2024-08-09,607.23,441
17,2024-11-23,601.52,405
18,2024-02-12,780.79,115
19,2024-09-30,280.27,686
20,2024-01-14,104.47,77
21,2024-09-19,978.62,168
22,2024-06-10,688.55,656
23,2024-10-07,253.14,431
24,2024-04-20,79.49,262
25,2024-08-13,335.34,994
26,2024-09-05,903.36,282
27,2024-08-07,259.26,831
28,2024-09-26,763.26,514
29,2024-11-19,931.61,823
30,2024-08-02,920.89,853
31,2024-07-07,445.31,295
32,2024-03-06,380.3,196
33,2024-05-10,484.87,577
34,2024-06-05,651.0,699
35,2024-01-20,191.75,796
36,2024-10-16,35.93,673
37,2024-09-16,521.91,246
38,2024-11-26,15.05,523
39,2024-10-13,395.33,822
40,2024-03-03,958.03,399
41,2024-01-05,614.69,795
42,2024-10-14,567.61,452
43,2024-09-20,827.93,930
44,2024-02-18,745.53,853
45,2024-04-06,530.57,816
46,2024-07-28,289.11,41
47,2024-03-20,285.55,359
48,2024-04-29,322.84,475
49,2024-01-29,741.15,553
50,2024-04-10,271.01,428
51,2024-04-09,963.59,896
52,2024-08-23,953.93,830
53,2024-08-07,421.79,851
54,2024-10-30,980.38,692
55,2024-08-01,731.83,804
56,2024-01-30,406.99,655
57,2024-11-14,952.75,781
58,2024-03-05,558.53,800
59,2024-03-05,203.89,298
60,2024-02-16,146.33,736
61,2024-05-30,58.99,322
62,2024-03-14,324.13,733
63,2024-02-12,547.4,951
64,2024-06-05,958.57,123
65,2024-07-15,378.09,805
66,2024-09-30,102.59,791
67,2024-08-15,238.71,997
